tenure,rooms,occupants,bedrooms,hhtype,frequency
0,0,0,0,0,1
0,1,0,0,0,115
0,1,1,0,1,17
0,1,1,0,2,17
0,1,1,0,4,4
0,1,2,0,2,1
0,1,2,0,4,1
0,2,0,0,0,28
0,2,0,1,0,500
0,2,1,0,1,7
0,2,1,0,2,8
0,2,1,1,1,145
0,2,1,1,2,118
0,2,1,1,3,3
0,2,1,1,4,37
0,2,2,1,1,17
0,2,2,1,2,15
0,2,2,1,3,1
0,2,2,1,4,2
0,2,3,1,1,4
0,2,3,1,2,12
0,2,3,1,3,1
0,3,0,0,0,8
0,3,0,1,0,272
0,3,0,2,0,413
0,3,1,0,1,5
0,3,1,0,2,2
0,3,1,1,1,94
0,3,1,1,2,102
0,3,1,1,3,2
0,3,1,1,4,28
0,3,1,2,1,233
0,3,1,2,2,225
0,3,1,2,3,5
0,3,1,2,4,66
0,3,2,0,4,1
0,3,2,1,1,14
0,3,2,1,2,11
0,3,2,1,4,2
0,3,2,2,1,37
0,3,2,2,2,52
0,3,2,2,3,5
0,3,2,2,4,15
0,3,3,1,1,8
0,3,3,1,2,7
0,3,3,2,1,41
0,3,3,2,2,46
0,3,3,2,4,8
0,4,0,0,0,1
0,4,0,1,0,52
0,4,0,2,0,597
0,4,0,3,0,40
0,4,1,0,1,1
0,4,1,1,1,35
0,4,1,1,2,49
0,4,1,1,4,8
0,4,1,2,1,401
0,4,1,2,2,403
0,4,1,2,3,5
0,4,1,2,4,100
0,4,1,3,1,36
0,4,1,3,2,37
0,4,1,3,3,2
0,4,1,3,4,8
0,4,2,1,1,4
0,4,2,1,2,4
0,4,2,1,4,1
0,4,2,2,1,77
0,4,2,2,2,75
0,4,2,2,3,6
0,4,2,2,4,40
0,4,2,3,1,7
0,4,2,3,2,9
0,4,2,3,3,1
0,4,2,3,4,6
0,4,3,1,2,4
0,4,3,2,1,73
0,4,3,2,2,71
0,4,3,2,3,1
0,4,3,2,4,17
0,4,3,3,1,17
0,4,3,3,2,17
0,4,3,3,4,9
0,5,0,1,0,9
0,5,0,2,0,170
0,5,0,3,0,295
0,5,1,1,1,12
0,5,1,1,2,13
0,5,1,1,4,1
0,5,1,2,1,205
0,5,1,2,2,216
0,5,1,2,3,1
0,5,1,2,4,26
0,5,1,3,1,491
0,5,1,3,2,490
0,5,1,3,3,11
0,5,1,3,4,73
0,5,2,1,2,3
0,5,2,2,1,60
0,5,2,2,2,49
0,5,2,2,3,3
0,5,2,2,4,5
0,5,2,3,1,128
0,5,2,3,2,130
0,5,2,3,3,6
0,5,2,3,4,35
