tenure,rooms,occupants,bedrooms,hhtype,frequency
0,0,0,0,0,1
0,1,0,0,0,119
0,1,1,0,1,22
0,1,1,0,2,8
0,1,1,0,4,3
0,1,2,0,1,2
0,1,2,0,4,1
0,1,3,0,1,1
0,1,3,0,4,1
0,2,0,0,0,30
0,2,0,1,0,517
0,2,1,0,1,15
0,2,1,0,2,5
0,2,1,1,1,241
0,2,1,1,2,41
0,2,1,1,3,3
0,2,1,1,4,44
0,2,2,1,1,26
0,2,2,1,2,5
0,2,2,1,3,1
0,2,2,1,4,3
0,2,3,1,1,12
0,2,3,1,2,1
0,2,3,1,3,1
0,2,3,1,4,2
0,3,0,0,0,7
0,3,0,1,0,291
0,3,0,2,0,438
0,3,1,0,1,5
0,3,1,0,2,1
0,3,1,0,4,1
0,3,1,1,1,187
0,3,1,1,2,23
0,3,1,1,3,4
0,3,1,1,4,34
0,3,1,2,1,426
0,3,1,2,2,43
0,3,1,2,3,8
0,3,1,2,4,64
0,3,2,1,1,24
0,3,2,1,2,1
0,3,2,1,4,1
0,3,2,2,1,81
0,3,2,2,2,10
0,3,2,2,3,5
0,3,2,2,4,16
0,3,3,1,1,11
0,3,3,1,2,3
0,3,3,1,4,1
0,3,3,2,1,83
0,3,3,2,2,12
0,3,3,2,4,6
0,4,0,0,0,4
0,4,0,1,0,54
0,4,0,2,0,609
0,4,0,3,0,41
0,4,1,0,2,1
0,4,1,1,1,81
0,4,1,1,2,8
0,4,1,1,4,6
0,4,1,2,1,776
0,4,1,2,2,58
0,4,1,2,3,14
0,4,1,2,4,103
0,4,1,3,1,66
0,4,1,3,2,5
0,4,1,3,3,1
0,4,1,3,4,9
0,4,2,1,1,9
0,4,2,1,2,1
0,4,2,2,1,135
0,4,2,2,2,10
0,4,2,2,3,6
0,4,2,2,4,38
0,4,2,3,1,18
0,4,2,3,2,2
0,4,2,3,3,1
0,4,2,3,4,7
0,4,3,1,1,3
0,4,3,1,2,1
0,4,3,2,1,139
0,4,3,2,2,14
0,4,3,2,3,2
