tenure,rooms,occupants,bedrooms,hhtype,frequency
0,0,0,0,0,4
0,0,1,0,1,1
0,0,1,0,2,1
0,1,0,0,0,135
0,1,1,0,1,20
0,1,1,0,2,19
0,1,1,0,3,1
0,1,1,0,4,2
0,1,2,0,1,1
0,1,2,0,2,1
0,1,3,0,2,1
0,2,0,0,0,44
0,2,0,1,0,608
0,2,1,0,1,11
0,2,1,0,2,11
0,2,1,0,4,3
0,2,1,1,1,177
0,2,1,1,2,187
0,2,1,1,3,3
0,2,1,1,4,52
0,2,2,1,1,21
0,2,2,1,2,15
0,2,2,1,4,3
0,2,3,1,1,4
0,2,3,1,2,13
0,2,3,1,4,1
0,3,0,0,0,8
0,3,0,1,0,357
0,3,0,2,0,495
0,3,1,0,1,7
0,3,1,0,2,6
0,3,1,1,1,170
0,3,1,1,2,138
0,3,1,1,3,5
0,3,1,1,4,27
0,3,1,2,1,294
0,3,1,2,2,265
0,3,1,2,3,14
0,3,1,2,4,85
0,3,2,0,1,1
0,3,2,0,4,1
0,3,2,1,1,16
0,3,2,1,2,21
0,3,2,1,3,1
0,3,2,1,4,2
0,3,2,2,1,73
0,3,2,2,2,62
0,3,2,2,3,6
0,3,2,2,4,23
0,3,3,1,1,11
0,3,3,1,2,3
0,3,3,1,3,2
0,3,3,1,4,3
0,3,3,2,1,45
0,3,3,2,2,47
0,3,3,2,3,1
0,3,3,2,4,9
0,4,0,0,0,1
0,4,0,1,0,70
0,4,0,2,0,714
0,4,0,3,0,38
0,4,1,0,1,4
0,4,1,0,2,2
0,4,1,1,1,45
0,4,1,1,2,57
0,4,1,1,3,1
0,4,1,1,4,10
0,4,1,2,1,520
0,4,1,2,2,525
0,4,1,2,3,9
0,4,1,2,4,137
0,4,1,3,1,37
0,4,1,3,2,42
0,4,1,3,3,1
0,4,1,3,4,10
0,4,2,1,1,6
0,4,2,1,2,5
0,4,2,1,4,1
0,4,2,2,1,99
0,4,2,2,2,102
0,4,2,2,3,15
0,4,2,2,4,40
0,4,2,3,1,12
0,4,2,3,2,9
0,4,2,3,3,4
0,4,2,3,4,4
0,4,3,1,1,2
0,4,3,1,2,2
0,4,3,2,1,95
0,4,3,2,2,91
0,4,3,2,3,2
0,4,3,2,4,17
0,4,3,3,1,20
0,4,3,3,2,12
0,4,3,3,3,1
0,4,3,3,4,5
0,5,0,0,0,1
0,5,0,1,0,14
0,5,0,2,0,194
0,5,0,3,0,327
0,5,1,0,2,4
0,5,1,0,4,1
0,5,1,1,1,19
0,5,1,1,2,8
0,5,1,2,1,265
0,5,1,2,2,249
0,5,1,2,3,3
0,5,1,2,4,36
0,5,1,3,1,535
0,5,1,3,2,507
0,5,1,3,3,14
0,5,1,3,4,60
0,5,2,0,2,1
0,5,2,1,1,2
0,5,2,1,2,1
0,5,2,2,1,47
0,5,2,2,2,67
0,5,2,2,3,5
0,5,2,2,4,20
0,5,2,3,1,160
0,5,2,3,2,157
0,5,2,3,3,10
0,5,2,3,4,31
0,5,3,1,2,2
0,5,3,2,1,53
0,5,3,2,2,39
0,5,3,2,3,2
0,5,3,2,4,6
0,5,3,3,1,199
0,5,3,3,2,227
0,5,3,3,3,1
0,5,3,3,4,36
1,0,0,0,0,2
1,1,0,0,0,131
1,1,1,0,1,34
1,1,1,0,2,33
1,1,1,0,3,3
1,1,1,0,4,3
1,1,2,0,1,9
1,1,2,0,2,4
1,1,2,0,4,2
1,1,3,0,1,3
1,2,0,0,0,16
1,2,0,1,0,397
1,2,1,0,1,7
1,2,1,0,2,7
1,2,1,0,4,1
1,2,1,1,1,160
1,2,1,1,2,156
1,2,1,1,3,41
1,2,1,1,4,45
1,2,2,0,1,1
1,2,2,0,2,2
1,2,2,1,1,87
1,2,2,1,2,87
1,2,2,1,3,14
1,2,2,1,4,7
1,2,3,0,2,1
1,2,3,1,1,54
1,2,3,1,2,57
1,2,3,1,3,1
1,2,3,1,4,2
1,3,0,0,0,6
1,3,0,1,0,143
1,3,0,2,0,242
1,3,1,0,1,2
1,3,1,0,2,3
1,3,1,1,1,90
1,3,1,1,2,100
1,3,1,1,3,26
1,3,1,1,4,17
1,3,1,2,1,223
1,3,1,2,2,191
1,3,1,2,3,62
1,3,1,2,4,76
1,3,2,0,1,2
1,3,2,0,2,1
1,3,2,1,1,48
1,3,2,1,2,50
1,3,2,1,3,7
1,3,2,1,4,4
1,3,2,2,1,174
1,3,2,2,2,194
1,3,2,2,3,57
1,3,2,2,4,51
1,3,3,0,4,1
1,3,3,1,1,35
1,3,3,1,2,33
1,3,3,1,3,2
1,3,3,1,4,2
1,3,3,2,1,326
1,3,3,2,2,327
1,3,3,2,3,17
1,3,3,2,4,22
1,4,0,0,0,2
1,4,0,1,0,28
1,4,0,2,0,243
1,4,0,3,0,28
1,4,1,0,1,6
1,4,1,0,2,3
1,4,1,0,4,1
1,4,1,1,1,29
1,4,1,1,2,28
1,4,1,1,3,5
1,4,1,1,4,10
1,4,1,2,1,253
1,4,1,2,2,280
