tenure,rooms,occupants,bedrooms,hhtype,frequency
0,0,0,0,0,1
0,0,1,0,2,2
0,1,0,0,0,130
0,1,1,0,1,16
0,1,1,0,2,18
0,1,1,0,4,2
0,2,0,0,0,37
0,2,0,1,0,560
0,2,1,0,1,9
0,2,1,0,2,10
0,2,1,0,4,3
0,2,1,1,1,155
0,2,1,1,2,163
0,2,1,1,3,7
0,2,1,1,4,47
0,2,2,1,1,18
0,2,2,1,2,15
0,2,2,1,4,2
0,2,3,1,1,7
0,2,3,1,2,12
0,2,3,1,4,1
0,3,0,0,0,8
0,3,0,1,0,328
0,3,0,2,0,478
0,3,1,0,1,9
0,3,1,0,2,5
0,3,1,1,1,133
0,3,1,1,2,146
0,3,1,1,3,5
0,3,1,1,4,34
0,3,1,2,1,259
0,3,1,2,2,248
0,3,1,2,3,11
0,3,1,2,4,78
0,3,2,0,4,1
0,3,2,1,1,10
0,3,2,1,2,19
0,3,2,1,4,4
0,3,2,2,1,59
0,3,2,2,2,66
0,3,2,2,3,5
0,3,2,2,4,21
0,3,3,1,1,5
0,3,3,1,2,5
0,3,3,1,4,3
0,3,3,2,1,43
0,3,3,2,2,44
0,3,3,2,3,2
0,3,3,2,4,5
0,4,0,1,0,64
0,4,0,2,0,671
0,4,0,3,0,35
0,4,1,0,1,1
0,4,1,0,2,3
0,4,1,1,1,54
0,4,1,1,2,44
0,4,1,1,4,10
0,4,1,2,1,501
0,4,1,2,2,465
0,4,1,2,3,13
0,4,1,2,4,122
0,4,1,3,1,40
0,4,1,3,2,32
0,4,1,3,4,11
0,4,2,1,1,5
0,4,2,1,2,7
0,4,2,1,4,1
0,4,2,2,1,100
0,4,2,2,2,73
0,4,2,2,3,8
0,4,2,2,4,37
0,4,2,3,1,10
0,4,2,3,2,6
0,4,2,3,3,3
0,4,2,3,4,5
0,4,3,0,4,1
0,4,3,1,2,1
0,4,3,2,1,90
0,4,3,2,2,86
0,4,3,2,3,1
0,4,3,2,4,16
0,4,3,3,1,18
0,4,3,3,2,14
0,4,3,3,3,1
0,4,3,3,4,5
0,5,0,0,0,1
0,5,0,1,0,10
0,5,0,2,0,188
0,5,0,3,0,324
0,5,1,0,2,2
0,5,1,1,1,17
0,5,1,1,2,9
0,5,1,2,1,250
0,5,1,2,2,244
0,5,1,2,3,2
0,5,1,2,4,34
0,5,1,3,1,472
0,5,1,3,2,506
0,5,1,3,3,11
0,5,1,3,4,52
0,5,2,1,2,2
0,5,2,2,1,61
0,5,2,2,2,51
0,5,2,2,3,5
0,5,2,2,4,18
0,5,2,3,1,154
0,5,2,3,2,149
0,5,2,3,3,10
0,5,2,3,4,31
0,5,3,2,1,46
0,5,3,2,2,41
0,5,3,2,3,1
0,5,3,2,4,2
0,5,3,3,1,199
0,5,3,3,2,181
0,5,3,3,4,38
1,0,0,0,0,3
1,0,3,0,2,1
1,1,0,0,0,110
1,1,1,0,1,27
1,1,1,0,2,26
