tenure,rooms,occupants,bedrooms,hhtype,frequency
0,0,0,0,0,3
0,0,1,0,1,1
0,0,1,0,2,1
0,1,0,0,0,127
0,1,1,0,1,12
0,1,1,0,2,21
0,1,1,0,4,1
0,1,2,0,1,2
0,1,2,0,4,1
0,1,3,0,2,1
0,2,0,0,0,44
0,2,0,1,0,518
0,2,1,0,1,15
0,2,1,0,2,7
0,2,1,0,4,1
0,2,1,1,1,156
0,2,1,1,2,155
0,2,1,1,3,5
0,2,1,1,4,45
0,2,2,1,1,14
0,2,2,1,2,23
0,2,2,1,3,1
0,2,2,1,4,3
0,2,3,1,1,7
0,2,3,1,2,11
0,2,3,1,4,3
0,3,0,0,0,10
0,3,0,1,0,333
0,3,0,2,0,442
0,3,1,0,1,8
0,3,1,0,2,8
0,3,1,0,4,1
0,3,1,1,1,156
0,3,1,1,2,160
0,3,1,1,3,2
0,3,1,1,4,26
0,3,1,2,1,251
0,3,1,2,2,275
0,3,1,2,3,9
0,3,1,2,4,78
0,3,2,1,1,16
0,3,2,1,2,22
0,3,2,1,3,1
0,3,2,1,4,4
0,3,2,2,1,55
0,3,2,2,2,56
0,3,2,2,3,5
0,3,2,2,4,22
0,3,3,0,1,2
0,3,3,0,2,1
0,3,3,1,1,7
0,3,3,1,2,9
0,3,3,1,4,6
0,3,3,2,1,44
0,3,3,2,2,39
0,3,3,2,3,2
0,3,3,2,4,11
0,4,0,0,0,3
0,4,0,1,0,58
0,4,0,2,0,625
0,4,0,3,0,36
0,4,1,0,2,6
0,4,1,1,1,58
0,4,1,1,2,45
0,4,1,1,3,1
0,4,1,1,4,8
0,4,1,2,1,463
0,4,1,2,2,465
0,4,1,2,3,10
0,4,1,2,4,116
0,4,1,3,1,34
0,4,1,3,2,19
0,4,1,3,3,1
0,4,1,3,4,7
0,4,2,0,2,1
0,4,2,1,1,5
0,4,2,1,2,2
0,4,2,2,1,97
0,4,2,2,2,102
0,4,2,2,3,10
0,4,2,2,4,34
0,4,2,3,1,5
0,4,2,3,2,10
0,4,2,3,3,3
0,4,2,3,4,5
0,4,3,0,1,1
0,4,3,0,2,1
0,4,3,1,2,2
0,4,3,1,4,1
0,4,3,2,1,101
0,4,3,2,2,78
0,4,3,2,3,3
0,4,3,2,4,22
0,4,3,3,1,13
0,4,3,3,2,15
0,4,3,3,3,1
0,4,3,3,4,7
0,5,0,0,0,3
0,5,0,1,0,15
0,5,0,2,0,168
0,5,0,3,0,276
0,5,1,0,1,1
0,5,1,0,4,1
0,5,1,1,1,7
0,5,1,1,2,16
0,5,1,2,1,238
0,5,1,2,2,227
0,5,1,2,3,2
0,5,1,2,4,34
0,5,1,3,1,433
0,5,1,3,2,456
0,5,1,3,3,14
0,5,1,3,4,57
0,5,2,0,2,1
0,5,2,1,1,2
0,5,2,1,2,2
0,5,2,2,1,60
0,5,2,2,2,52
0,5,2,2,3,7
0,5,2,2,4,17
0,5,2,3,1,118
0,5,2,3,2,137
0,5,2,3,3,9
0,5,2,3,4,27
0,5,3,0,2,1
0,5,3,2,1,43
0,5,3,2,2,40
0,5,3,2,3,1
0,5,3,2,4,8
0,5,3,3,1,199
0,5,3,3,2,176
0,5,3,3,3,3
0,5,3,3,4,37
1,0,0,0,0,1
1,1,0,0,0,143
1,1,1,0,1,38
1,1,1,0,2,45
1,1,1,0,3,4
