,Area,LC4402_C_TYPACCOM,QS420EW_CELL,LC4402_C_TENHUK11,LC4408_C_AHTHUK11,LC4404EW_C_SIZHUK11,LC4404EW_C_ROOMS,LC4405EW_C_BEDROOMS,LC4408EW_C_PPBROOMHEW11,LC4402_C_CENHEATHUK11,LC4601EW_C_ECOPUK11,LC4202EW_C_ETHHUK11,LC4202EW_C_CARSNO
0,E00000001,5,-2,2,1,1,2,2,1,2,4,2,1
1,E00000001,5,-2,2,1,1,3,3,1,2,14,4,2
2,E00000001,5,-2,2,1,1,4,3,1,2,4,2,2
3,E00000001,5,-2,2,1,1,5,1,2,2,8,2,1
4,E00000001,5,-2,2,1,1,5,1,2,2,5,8,1
5,E00000001,5,-2,2,1,1,5,2,1,2,5,2,2
6,E00000001,5,-2,2,1,1,5,2,1,2,8,2,2
7,E00000001,5,-2,2,1,1,5,2,1,2,5,3,1
8,E00000001,5,-2,2,1,1,5,2,1,2,5,2,2
9,E00000001,5,-2,2,1,1,5,2,1,2,8,2,2
10,E00000001,5,-2,2,1,1,5,3,1,2,8,2,1
11,E00000001,5,-2,2,1,1,5,3,1,2,5,2,2
12,E00000001,5,-2,2,1,1,5,3,1,2,14,2,2
13,E00000001,5,-2,2,1,1,5,3,1,2,14,2,1
14,E00000001,5,-2,2,1,1,5,3,1,2,8,2,2
15,E00000001,5,-2,2,1,1,5,3,1,2,5,2,1
16,E00000001,5,-2,2,1,1,5,3,1,2,14,2,2
17,E00000001,5,-2,2,1,1,6,1,2,2,14,2,3
18,E00000001,5,-2,2,1,1,6,2,1,2,5,2,1
19,E00000001,5,-2,2,1,1,6,3,1,2,8,3,2
20,E00000001,5,-2,2,1,1,6,3,1,2,14,2,1
21,E00000001,5,-2,2,1,1,6,3,1,2,14,2,2
22,E00000001,5,-2,2,2,2,3,3,2,2,14,4,1
23,E00000001,5,-2,2,2,2,4,3,2,2,8,2,2
24,E00000001,5,-2,2,2,2,4,3,2,2,5,2,1
25,E00000001,5,-2,2,2,2,5,1,4,2,5,2,2
26,E00000001,5,-2,2,2,2,5,2,2,2,14,2,2
27,E00000001,5,-2,2,3,2,5,2,2,2,14,2,1
